OBJECTID,STATUS,AP_NAME,AP_NUMBER,MAP_NUMBER,AP_FULL_NAME,ADOPTED_DATE,CROP_TYPE,NONR_DATE,ACTIVE,AMENDMENT_NO,SHAPESTArea,SHAPESTLength
8613,O,"COACHELLA VALLEY",43,203,"COACHELLA VALLEY NO. 43 MAP NO. 203",1972-02-01T00:00:00.000Z," ",,Y," ",5523844.953125,12533.528716918
8615,O,BLYTHE,9,577,"BLYTHE NO. 9 MAP NO. 577",1983-01-04T00:00:00.000Z," ",,Y," ",4010457.92773438,8643.90741496801
8617,O,"COACHELLA VALLEY",91,585,"COACHELLA VALLEY NO. 91 MAP NO. 585",1984-02-21T00:00:00.000Z," ",,Y," ",6953453.08886719,10507.8455643122
8618,O,"COACHELLA VALLEY",71,371,"COACHELLA VALLEY NO. 71 MAP NO. 371",1976-02-10T00:00:00.000Z," ",,Y," ",13901479.265625,15847.4824855474
8622,O,"RANCHO CALIFORNIA",24,367,"RANCHO CALIFORNIA NO. 24 MAP NO. 367",1976-02-10T00:00:00.000Z," ",,Y," ",4264587.98046875,11594.4928798106
8623,O,BLYTHE,8,576,"BLYTHE NO. 8 MAP NO. 576",1983-01-04T00:00:00.000Z," ",,Y," ",1417771.48535156,7456.15994712883
8624,O,"COACHELLA VALLEY",81,435,"COACHELLA VALLEY NO. 81 MAP NO. 435",1977-02-15T00:00:00.000Z," ",,Y," ",6272359.33203125,12225.5431193755
8625,O,"COACHELLA VALLEY",45,206,"COACHELLA VALLEY NO. 45 MAP NO. 206",1972-02-01T00:00:00.000Z," ",,Y," ",6125720.37402344,14940.7643224693
8626,O,BLYTHE,10,578,"BLYTHE NO. 10 MAP NO. 578",1983-02-01T00:00:00.000Z," ",,Y," ",51796298.0996094,45554.3813650358
8630,O,"COACHELLA VALLEY",76,384,"COACHELLA VALLEY NO. 76 MAP NO. 384",1976-06-29T00:00:00.000Z," ",,N," ",3328263.08203125,7761.87925254205
8631,O,"COACHELLA VALLEY",76,384,"COACHELLA VALLEY NO. 76 MAP NO. 384",1976-06-29T00:00:00.000Z," ",,N," ",1645860.3359375,5131.84835341871
8634,O,"COACHELLA VALLEY",65,313,"COACHELLA VALLEY NO. 65 MAP NO. 313",1974-11-26T00:00:00.000Z," ",,Y," ",6093118.52050781,10556.7117848475
8635,O,BLYTHE,9,577,"BLYTHE NO. 9 MAP NO. 577",1983-01-04T00:00:00.000Z," ",,Y," ",1853610.58398438,6828.45504662222
8636,O,"RANCHO CALIFORNIA",37,689,"RANCHO CALIFORNIA NO. 37 MAP NO. 689",1989-07-05T00:00:00.000Z," ",,Y," ",4685110.01855469,11650.7494407821
8637,O,"COACHELLA VALLEY",89,519,"COACHELLA VALLEY NO. 89 MAP NO. 519",1980-12-16T00:00:00.000Z," ",,Y," ",47862240.4384766,40298.3822217106
8640,O,"RANCHO CALIFORNIA",37,689,"RANCHO CALIFORNIA NO. 37 MAP NO. 689",1989-07-05T00:00:00.000Z," ",,Y," ",4339448.66308594,10380.3804600699
8641,O,"RANCHO CALIFORNIA",18,354,"RANCHO CALIFORNIA NO. 18 MAP NO. 354",1976-02-03T00:00:00.000Z," ",,Y," ",3457339.41210938,9724.41514365367
8643,O,"COACHELLA VALLEY",49,215,"COACHELLA VALLEY NO. 49 MAP NO. 215",1972-02-01T00:00:00.000Z," ",,Y," ",10394224.1796875,12943.0564247706
8649,O,"RANCHO CALIFORNIA",21,364,"RANCHO CALIFORNIA NO. 21 MAP NO. 364",1976-02-10T00:00:00.000Z," ",,Y," ",4199827.01660156,8686.96826175403
8650,O,"RANCHO CALIFORNIA",19,355,"RANCHO CALIFORNIA NO. 19 MAP NO. 355",1976-02-03T00:00:00.000Z," ",,Y," ",2596555.12402344,6719.51863537197
8651,O,"RANCHO CALIFORNIA",19,355,"RANCHO CALIFORNIA NO. 19 MAP NO. 355",1976-02-03T00:00:00.000Z," ",,Y," ",1842025.79492188,5988.52434749359
8652,O,"RANCHO CALIFORNIA",19,355,"RANCHO CALIFORNIA NO. 19 MAP NO. 355",1976-02-03T00:00:00.000Z," ",,Y," ",1605113.45996094,5295.92735771197
8653,O,"COACHELLA VALLEY",47,213,"COACHELLA VALLEY NO. 47 MAP NO. 213",1972-02-01T00:00:00.000Z," ",,Y," ",17005411.0097656,21730.5045138806
8654,O,"COACHELLA VALLEY",64,312,"COACHELLA VALLEY NO. 64 MAP NO. 312",1974-11-26T00:00:00.000Z," ",,Y," ",5308284.73242188,10649.4817460328
8655,O,"COACHELLA VALLEY",56,258,"COACHELLA VALLEY NO. 56 MAP NO. 258",1973-10-30T00:00:00.000Z," ",,Y," ",32623143.8779297,42164.4979802498
8656,O,"RANCHO CALIFORNIA",18,354,"RANCHO CALIFORNIA NO. 18 MAP NO. 354",1976-02-03T00:00:00.000Z," ",,Y," ",1814851.48632812,6606.6253042145
8658,O,BLYTHE,6,574,"BLYTHE NO. 6 MAP NO. 574",1983-01-04T00:00:00.000Z," ",,Y," ",10128697.8017578,13486.2160053722
8662,O,"RANCHO CALIFORNIA",19,355,"RANCHO CALIFORNIA NO. 19 MAP NO. 355",1976-02-03T00:00:00.000Z," ",,Y," ",913999.875,4118.86224358052
8664,O,"RANCHO CALIFORNIA",26,369,"RANCHO CALIFORNIA NO. 26 MAP NO. 369",1976-02-10T00:00:00.000Z," ",,Y," ",1682405.34667969,5386.06016365109
8667,O,BLYTHE,6,574,"BLYTHE NO. 6 MAP NO. 574",1983-01-04T00:00:00.000Z," ",,Y," ",3478461.18164062,7927.22689863397
8669,O,"RANCHO CALIFORNIA",18,354,"RANCHO CALIFORNIA NO. 18 MAP NO. 354",1976-02-03T00:00:00.000Z," ",,Y," ",11866653.9326172,20704.0373288284
8670,O,"RANCHO CALIFORNIA",23,366,"RANCHO CALIFORNIA NO. 23 MAP NO. 366",1976-12-10T00:00:00.000Z," ",,Y," ",969315.37890625,3843.76026226811
8672,O,"RANCHO CALIFORNIA",23,366,"RANCHO CALIFORNIA NO. 23 MAP NO. 366",1976-12-10T00:00:00.000Z," ",,Y," ",6705014.25292969,14445.1322397284
8673,O,"RANCHO CALIFORNIA",26,369,"RANCHO CALIFORNIA NO. 26 MAP NO. 369",1976-02-10T00:00:00.000Z," ",,Y," ",3814264.64257812,9884.39028093545
8674,O,"RANCHO CALIFORNIA",8,287,"RANCHO CALIFORNIA NO. 8 MAP NO. 287",1974-02-19T00:00:00.000Z," ",,Y," ",10079394.0380859,18010.1692137641
8679,O,"RANCHO CALIFORNIA",12,322,"RANCHO CALIFORNIA NO. 12 MAP NO. 322",1975-02-18T00:00:00.000Z," ",,Y," ",2240290.76074219,7298.77264656949
8680,O,"RANCHO CALIFORNIA",9,302,"RANCHO CALIFORNIA NO. 9 MAP NO. 302",1974-02-19T00:00:00.000Z," ",,Y," ",2571307.86914062,8639.85725633881
8681,O,"RANCHO CALIFORNIA",32,475,"RANCHO CALIFORNIA NO. 32 MAP NO. 475",1978-02-28T00:00:00.000Z," ",,Y," ",1707585.13671875,5362.48344378668
8682,O,"RANCHO CALIFORNIA",16,343,"RANCHO CALIFORNIA NO. 16 MAP NO. 343",1975-11-10T00:00:00.000Z," ",,Y," ",2026868.68066406,6493.43489496159
8683,O,"RANCHO CALIFORNIA",16,343,"RANCHO CALIFORNIA NO. 16 MAP NO. 343",1975-11-10T00:00:00.000Z," ",,Y," ",3266832.23925781,10039.7352139418
8684,O,"RANCHO CALIFORNIA",2,72,"RANCHO CALIFORNIA NO. 2 MAP NO. 72",1970-02-24T00:00:00.000Z," ",,Y," ",4388836.37597656,9281.31237402445
8688,O,WINCHESTER,10,82,"WINCHESTER NO. 10 MAP NO. 82",1970-02-24T00:00:00.000Z," ",,Y," ",416625.526367188,3222.83690802853
8695,O,"COACHELLA VALLEY",97,777,"COACHELLA VALLEY NO. 97 MAP NO. 777",1997-12-23T00:00:00.000Z," ",,Y," ",1698752.3359375,5213.6724099745
8698,O,"MIRA LOMA",3,4,"MIRA LOMA NO. 3 MAP NO. 4",1968-02-05T00:00:00.000Z," ",,Y," ",976802.310546875,5759.69410780076
8726,O,WINCHESTER,24,375,"WINCHESTER NO. 24 MAP NO. 375",1976-06-01T00:00:00.000Z," ",,Y," ",6438997.921875,11186.9626783466
8767,O,WOODCREST,5,847,"WOODCREST NO. 5 MAP NO. 847",2001-02-27T00:00:00.000Z," ",,N,7,6858202.81933594,10476.7212508019
8769,O,WOODCREST,5,47,"WOODCREST NO. 5 MAP NO. 47",1970-02-09T00:00:00.000Z," ",,Y," ",4212988.31933594,9081.08123278906
8774,O,BLYTHE,15,750,"BLYTHE NO. 15 MAP NO. 750",1996-12-17T00:00:00.000Z," ",,Y," ",43654983.6621094,55908.8257246183
8775,O,"COACHELLA VALLEY",30,170,"COACHELLA VALLEY NO. 30 MAP NO. 170",1972-01-18T00:00:00.000Z," ",,Y," ",5336581.7578125,10699.6722693819
8782,O,"MIRA LOMA",4,5,"MIRA LOMA NO. 4 MAP NO. 5",1969-02-10T00:00:00.000Z," ",,Y," ",1451699.38769531,7461.7473885675
